TEST_PARAM.comment:,lr44 2x

SourceMeter Model:,2450
SourceMeter S/N:,04036355
SourceMeter Firmware:,1.7.5b

TEST_PARAM.terminals:,FRONT TERMINALS

TEST_PARAM.initial_voc:,3.0592660904
TEST_PARAM.vcutoff:,1.65

TEST_PARAM.discharge_type:,CONSTANT
TEST_PARAM.discharge_current:,0.05
TEST_PARAM.max_discharge_current:,0.05

TEST_PARAM.measure_interval:,2

TEST_PARAM.discharge_start_time:,02/26/21 14:04:37
TEST_PARAM.discharge_stop_time:,02/26/21 14:35:54

BATT_MODEL_RAW:,Index,Timestamp,Voc,Vload,ESR
BATT_MODEL_RAW:,193,384.18536668,2.4462203979,2.1471633911,5.9811401367
BATT_MODEL_RAW:,194,386.18607436,2.4451255798,2.1460075378,5.9823608398
BATT_MODEL_RAW:,195,388.1867382,2.4440345764,2.1448516846,5.9836578369
BATT_MODEL_RAW:,196,390.1875307,2.4429588318,2.1437263489,5.9846496582
BATT_MODEL_RAW:,197,392.1884336,2.4418830872,2.1426391602,5.98487854
BATT_MODEL_RAW:,198,394.1892993,2.4408340454,2.141544342,5.9857940674
BATT_MODEL_RAW:,199,396.19002256,2.439781189,2.1404418945,5.9867858887
BATT_MODEL_RAW:,200,398.19061268,2.4387550354,2.1394081116,5.9869384766
BATT_MODEL_RAW:,201,400.19122524,2.4377212524,2.1383094788,5.9882354736
BATT_MODEL_RAW:,202,402.19200106,2.4366416931,2.1372184753,5.9884643555
BATT_MODEL_RAW:,203,404.19303484,2.4355506897,2.1361274719,5.9884643555
BATT_MODEL_RAW:,204,406.1935468,2.4344596863,2.1349601746,5.9899902344
BATT_MODEL_RAW:,205,408.19402082,2.4334335327,2.1339111328,5.990447998
BATT_MODEL_RAW:,206,410.19509002,2.4323768616,2.1328392029,5.9907531738
BATT_MODEL_RAW:,207,412.19623158,2.4314689636,2.1318016052,5.993347168
BATT_MODEL_RAW:,208,414.19728642,2.4303359985,2.1307220459,5.9922790527
BATT_MODEL_RAW:,209,416.19843982,2.4292907715,2.1296463013,5.9928894043
BATT_MODEL_RAW:,210,418.19953782,2.4282531738,2.1286010742,5.9930419922
BATT_MODEL_RAW:,211,420.20033932,2.4272499084,2.1275558472,5.9938812256
BATT_MODEL_RAW:,212,422.2011331,2.4262199402,2.1264648438,5.9951019287
BATT_MODEL_RAW:,213,424.20225322,2.4251937866,2.1254081726,5.9957122803
BATT_MODEL_RAW:,214,426.20339814,2.4241790771,2.1243743896,5.99609375
BATT_MODEL_RAW:,215,428.20408614,2.4232368469,2.1233558655,5.9976196289
BATT_MODEL_RAW:,216,430.20524674,2.4222068787,2.122303009,5.9980773926
BATT_MODEL_RAW:,217,432.20619894,2.421207428,2.1212615967,5.998916626
